"lat","lon","name"
46.34,8.2,"CH|VS|Goms District"
50.49,12.18,"DE|SN|V"
46.32,9.53,"CH|GR|Distretto di Maloggia"
51.32,11.03,"DE|TH|Kyffhäuserkreis"
51.32,9.28,"DE|HE|KS"
51.32,13.53,"DE|SN|MEI"
50.4,11.33,"DE|BY|Oberfranken"
40.59,71.35,"UZ|Fergana Region|Farg'ona Viloyati"
53.59,6.49,"NL|GR|Het Hogeland"
50.01,9.25,"DE|BY|Unterfranken"
39.37,140.13,"JP|Akita|Yurihonjo"
50.22,8.46,"DE|HE|DA"
45.55,11.1,"IT|Veneto|VR"
53.59,11.23,"DE|MV|PCH"
48.26,11.25,"DE|BY|Oberbayern"
49.45,11.04,"DE|BY|Middle Franconia"
51.47,10.21,"DE|TH|EIC"
57.57,56.12,"RU|Permskiy kray|Perm Krai"
52.41,8.49,"DE|NRW|Detmold"
51.09,11.48,"DE|TH|Weimarer Land"
31.51,34.16,""
50.34,10.23,"DE|BY|Unterfranken"
50.34,11.48,"DE|BY|Oberfranken"
15.28,36.24,"SD|Kassala"
55.11,2.1,""
26.45,80.53,"IN|UP|Unnao"
48.29,12.43,"DE|BY|Oberbayern"
59.15,8.3,"NO|Vestfold og Telemark|Fyresdal Municipality"
56.51,14.5,"SE|Kronoberg County|Kronobergs län"
45.44,5.05,"FR|Auvergne-Rhône-Alpes|Isère"
51.56,13.12,"DE|SN|Nordsachsen"
48.31,9.37,"DE|BW|TÜ"
53.03,8.48,"DE|NDS|OL"
8.44,167.44,"MH|Lib Island|Lib"
13.41,44.08,"YE|Taizz Governorate|Ash Shu‘ūbah"
51.4,10.3,"DE|TH|EIC"
47.51,12.5,"AT|Tirol|Tyrol"
51.34,8.45,"DE|NRW|Arnsberg"
53.43,9.23,"DE|NDS|Rotenburg (Wümme)"
50.18,12.23,"CZ|Karlovarský kraj|Karlovy Vary Region"
35.41,51.21,"IR|Tehran Province|Eslamshahr"
22.16,91.49,"BD"
48.34,13.45,"AT|Upper Austria|Oberösterreich"
51.45,12.01,"DE|SA|Saalekreis"
49.09,7.35,"FR|Grand Est|Moselle"
